nextclade,plearn,Count,isAncestral,distance
AY.1,AY.129,1,0,2
AY.1,AY.4,1,0,2
AY.1,AY.5,1,0,2
AY.1,B.1.617.2,11,1,1
AY.100,AY.103,1,0,2
AY.100,AY.124,1,0,2
AY.100,AY.25.1,1,0,3
AY.100,AY.26,1,0,2
AY.100,AY.36.1,1,0,3
AY.100,AY.4,1,0,2
AY.103,AY.122,2,0,2
AY.103,AY.4,11,0,2
AY.103,AY.44,2,0,2
AY.105,B.1.617.2,2,1,1
AY.107,AY.100,1,0,2
AY.109,AY.5,5,0,2
AY.111,AY.103,1,0,2
AY.111,B.1.617.2,1,1,1
AY.112,AY.4,2,0,2
AY.113,AY.4,1,0,2
AY.114,AY.112,1,0,2
AY.116,AY.103,2,0,2
AY.116.1,AY.46,2,0,3
AY.116.1,B.1.617.2,1,1,2
AY.117,AY.103,1,0,2
AY.119,AY.119.2,1,1,1
AY.119,AY.25,1,0,2
AY.119,AY.4,3,0,2
AY.119.2,AY.119,1,1,1
AY.119.2,AY.86,1,0,3
AY.121,AY.103,1,0,2
AY.122,B.1.617.2,7,1,1
AY.127,AY.103,1,0,2
AY.13,AY.44,2,0,2
AY.13,AY.75,8,0,2
AY.13,AY.9.2,1,0,3
AY.14,AY.13,1,0,2
AY.14,AY.54,1,0,2
AY.14,AY.75,1,0,2
AY.14,AY.9.2,1,0,3
AY.14,B.1.617.2,10,1,1
AY.2,B.1.617.2,1,1,1
AY.20,AY.113,1,0,2
AY.20,AY.26,1,0,2
AY.20,B.1.617.2,2,1,1
AY.25,AY.122,2,0,2
AY.25,AY.25.1,207,1,1
AY.25,AY.25.3,29,1,1
AY.25,AY.36.1,4,0,3
AY.25,AY.39,1,0,2
AY.25,AY.4,8,0,2
AY.25,AY.43,2,0,2
AY.25,AY.44,2,0,2
AY.25,AY.45,1,0,2
AY.25,AY.87,1,0,2
AY.25,B.1.617.2,40,1,1
AY.25.1,AY.4,13,0,3
AY.26,AY.44,1,0,2
AY.3,AY.100,5,0,2
AY.3,AY.103,8,0,2
AY.3,AY.107,2,0,2
AY.3,AY.110,1,0,2
AY.3,AY.112,3,0,2
AY.3,AY.118,2,0,2
AY.3,AY.122,1,0,2
AY.3,AY.126,1,0,2
AY.3,AY.25.1,1,0,3
AY.3,AY.3.1,2,1,1
AY.3,AY.33,1,0,2
AY.3,AY.4,1,0,2
AY.3,AY.43,5,0,2
AY.3,AY.44,1,0,2
AY.3,AY.46,6,0,2
AY.3,AY.46.6,1,0,3
AY.3,AY.82,1,0,2
AY.3,AY.98,3,0,2
AY.3,B.1.617.2,17,1,1
AY.3.1,AY.119,2,0,3
AY.3.1,AY.122,1,0,3
AY.3.1,AY.3,3,1,1
AY.3.1,B.1.617.2,3,1,2
AY.3.2,AY.3,51,1,1
AY.3.2,AY.4,1,0,3
AY.3.3,AY.3,28,1,1
AY.3.3,B.1.617.2,1,1,2
AY.35,B.1.617.2,6,1,1
AY.36,B.1.617.2,1,1,1
AY.39,AY.129,1,0,2
AY.39,AY.25.1,1,0,3
AY.39,AY.26,1,0,2
AY.39,AY.4,2,0,2
AY.39,AY.46,3,0,2
AY.39,B.1.617.2,182,1,1
AY.39.1,AY.39.1.2,1,1,1
AY.39.1,B.1.617.2,1,1,2
AY.4,AY.4.10,1,1,1
AY.4,AY.4.15,1,1,1
AY.43,AY.43.8,23,1,1
AY.44,AY.100,1,0,2
AY.44,AY.103,1,0,2
AY.44,AY.46.6,1,0,3
AY.44,AY.92,4,0,2
AY.44,B.1.617.2,2,1,1
AY.46,AY.46.1,2,1,1
AY.47,AY.100,1,0,2
AY.48,AY.75,1,0,2
AY.48,B.1.617.2,1,1,1
AY.5,AY.106,1,0,2
AY.5,AY.5.3,7,1,1
AY.5,B.1.617.2,1,1,1
AY.54,AY.103,1,0,2
AY.54,AY.25,1,0,2
AY.54,B.1.617.2,5,1,1
AY.64,AY.44,1,0,2
AY.75,AY.25,7,0,2
AY.75,B.1.617.2,1,1,1
AY.99,AY.99.1,4,1,1
B.1,AY.122,1,1,3
B.1,AY.13,1,1,3
B.1,AY.30,1,1,3
B.1,AY.44,4,1,3
B.1,B.1.139,1,1,1
B.1,B.1.2,127,1,1
B.1,B.1.305,3,1,1
B.1,B.1.369,2,1,1
B.1,B.1.405,1,1,1
B.1,B.1.595,1,1,1
B.1,B.1.596,15,1,1
B.1,B.1.612,2,1,1
B.1,B.1.617.2,3,1,2
B.1.1,B.1.1.222,5,1,1
B.1.503,B.1,1,1,1
B.1.558,B.1.243,1,0,2
B.1.596,AY.103,1,0,4
B.1.596,B.1,38,1,1
B.1.596,B.1.2,20,0,2
B.1.596,B.1.617.2,2,0,3
B.1.596.1,B.1.2,5,0,3
B.1.596.1,B.1.596,2,1,1
B.1.617,AY.103,1,1,2
B.1.617,AY.113,1,1,2
B.1.617,AY.122,10,1,2
B.1.617,AY.129,1,1,2
B.1.617,AY.25,1,1,2
B.1.617,AY.3,1,1,2
B.1.617,AY.43,8,1,2
B.1.617,AY.44,4,1,2
B.1.617,AY.53,1,1,2
B.1.617,AY.75,1,1,2
B.1.617,B.1,11,1,1
B.1.617,B.1.2,1,0,2
B.1.617,B.1.36,1,0,2
B.1.617,B.1.427,3,0,2
B.1.617,B.1.617.2,9,1,1
B.1.617.2,AY.1,1,1,1
B.1.617.2,AY.100,29,1,1
B.1.617.2,AY.101,1,1,1
B.1.617.2,AY.103,202,1,1
B.1.617.2,AY.105,2,1,1
B.1.617.2,AY.106,3,1,1
B.1.617.2,AY.107,1,1,1
B.1.617.2,AY.11,1,1,1
B.1.617.2,AY.112,83,1,1
B.1.617.2,AY.113,2,1,1
B.1.617.2,AY.114,7,1,1
B.1.617.2,AY.117,1,1,1
B.1.617.2,AY.118,5,1,1
B.1.617.2,AY.119,8,1,1
B.1.617.2,AY.119.2,3,1,2
B.1.617.2,AY.120,3,1,1
B.1.617.2,AY.121,5,1,1
B.1.617.2,AY.122,84,1,1
B.1.617.2,AY.123,1,1,1
B.1.617.2,AY.124,2,1,1
B.1.617.2,AY.126,11,1,1
B.1.617.2,AY.127,4,1,1
B.1.617.2,AY.129,13,1,1
B.1.617.2,AY.13,1,1,1
B.1.617.2,AY.133,1,1,1
B.1.617.2,AY.14,9,1,1
B.1.617.2,AY.16,24,1,1
B.1.617.2,AY.16.1,1,1,2
B.1.617.2,AY.20,21,1,1
B.1.617.2,AY.24,3,1,1
B.1.617.2,AY.25,48,1,1
B.1.617.2,AY.25.1,47,1,2
B.1.617.2,AY.25.3,2,1,2
B.1.617.2,AY.26,32,1,1
B.1.617.2,AY.29,1,1,1
B.1.617.2,AY.3,11,1,1
B.1.617.2,AY.32,1,1,1
B.1.617.2,AY.33,2,1,1
B.1.617.2,AY.35,3,1,1
B.1.617.2,AY.36,1,1,1
B.1.617.2,AY.36.1,4,1,2
B.1.617.2,AY.37,1,1,1
B.1.617.2,AY.39,303,1,1
B.1.617.2,AY.4,4,1,1
B.1.617.2,AY.4.13,1,1,2
B.1.617.2,AY.4.2.3,1,1,3
B.1.617.2,AY.4.6,1,1,2
B.1.617.2,AY.4.7,2,1,2
B.1.617.2,AY.43,65,1,1
B.1.617.2,AY.43.8,1,1,2
B.1.617.2,AY.44,76,1,1
B.1.617.2,AY.45,1,1,1
B.1.617.2,AY.46,2,1,1
B.1.617.2,AY.46.6,2,1,2
B.1.617.2,AY.47,13,1,1
B.1.617.2,AY.48,1,1,1
B.1.617.2,AY.5.4,2,1,2
B.1.617.2,AY.54,8,1,1
B.1.617.2,AY.57,1,1,1
B.1.617.2,AY.59,1,1,1
B.1.617.2,AY.65,1,1,1
B.1.617.2,AY.67,2,1,1
B.1.617.2,AY.70,1,1,1
B.1.617.2,AY.75,30,1,1
B.1.617.2,AY.77,6,1,1
B.1.617.2,AY.78,2,1,1
B.1.617.2,AY.80,1,1,1
B.1.617.2,AY.82,1,1,1
B.1.617.2,AY.83,3,1,1
B.1.617.2,AY.84,2,1,1
B.1.617.2,AY.87,1,1,1
B.1.617.2,AY.9.2,2,1,2
B.1.617.2,AY.92,3,1,1
B.1.617.2,AY.98,6,1,1
B.1.617.2,AY.99,1,1,1
B.1.617.2,B.1,1,1,2
B.1.637,B.1,2,1,1
BA.1.17.2,BA.1.17,6,1,1
P.1,P.1.4,3,1,1
P.1.12.1,P.1.12,3,1,1
P.1.15,P.1,1,1,1
P.1.17,P.1,1,1,1
XB,AY.103,1,0,R
XB,B.1.1,1,0,R
