usher,maple,Count,isAncestral,distance
A.2.5.1,A.2.5,1,1,1
AY.1,B.1.617.2,367,1,1
AY.100,AY.113,1,0,2
AY.100,B.1.617.2,3,1,1
AY.103,AY.100,3,0,2
AY.103,AY.116.1,2,0,3
AY.103,AY.118,1,0,2
AY.103,AY.20,1,0,2
AY.103,B.1.617.2,70,1,1
AY.103.1,AY.103,3,1,1
AY.105,B.1.617.2,22,1,1
AY.107,B.1.617.2,1,1,1
AY.110,B.1.617.2,1,1,1
AY.112,B.1.617.2,2,1,1
AY.113,AY.100,1,0,2
AY.113,B.1.617.2,1,1,1
AY.114,B.1.617.2,2,1,1
AY.116,B.1.617.2,1,1,1
AY.116.1,B.1.617.2,1,1,2
AY.117,AY.100,2,0,2
AY.117,AY.103,1,0,2
AY.118,B.1.617.2,1,1,1
AY.119,AY.25,1,0,2
AY.119,AY.25.1,1,0,3
AY.119,B.1.617.2,7,1,1
AY.119.2,AY.119,91,1,1
AY.119.2,B.1.617.2,1,1,2
AY.120.1,B.1.617.2,1,1,2
AY.121,AY.25,1,0,2
AY.121,AY.36,1,0,2
AY.121,B.1.617.2,2,1,1
AY.122,B.1.617.2,3,1,1
AY.122.1,AY.122,60,1,1
AY.122.4,AY.122,19,1,1
AY.124.1,AY.124,2,1,1
AY.124.1.1,AY.124,4,1,2
AY.125,B.1.617.2,1,1,1
AY.126,B.1.617.2,4,1,1
AY.129,B.1.617.2,1,1,1
AY.13,B.1,1,1,3
AY.13,B.1.617.2,2,1,1
AY.133,B.1.617.2,1,1,1
AY.14,B.1.617.2,1,1,1
AY.2,B.1,1,1,3
AY.20,AY.113,1,0,2
AY.20,B.1.617.2,3,1,1
AY.25,AY.25.1,3,1,1
AY.25,B.1.617.2,9,1,1
AY.25.1,AY.100,1,0,3
AY.25.1,AY.25,160,1,1
AY.25.1,B.1.617.2,7,1,2
AY.25.1.2,AY.25.1,1,1,1
AY.25.3,AY.25,39,1,1
AY.26,B.1.617.2,2304,1,1
AY.3,AY.103,1,0,2
AY.3,B.1.617.2,16,1,1
AY.34.1,B.1.617.2,1,1,2
AY.34.2,AY.34,1,1,1
AY.35,B.1,2,1,3
AY.36,B.1.617.2,35,1,1
AY.38,B.1.617.2,3,1,1
AY.39,AY.20,1,0,2
AY.39,AY.3,1,0,2
AY.39,AY.46.4,1,0,3
AY.39,B.1.617.2,63,1,1
AY.39.1,B.1.617.2,1,1,2
AY.39.1.1,AY.39.1,13,1,1
AY.4,AY.100,1,0,2
AY.4,AY.103,12,0,2
AY.4,AY.113,1,0,2
AY.4,AY.119,3,0,2
AY.4,AY.25,8,0,2
AY.4,AY.25.1,13,0,3
AY.4,AY.3,2,0,2
AY.4,AY.39,2,0,2
AY.4,B.1.617.2,10,1,1
AY.43,B.1.617.2,3,1,1
AY.43.3,AY.43,2,1,1
AY.43.8,AY.43,24,1,1
AY.43.8,B.1.617.2,1,1,2
AY.43.9,AY.43,1,1,1
AY.44,AY.100,4,0,2
AY.44,AY.119,1,0,2
AY.44,AY.20,1,0,2
AY.44,AY.25,1,0,2
AY.44,B.1.617.2,7898,1,1
AY.47,B.1.617.2,14,1,1
AY.48,B.1.617.2,1,1,1
AY.5,B.1.617.2,1,1,1
AY.52,B.1.617.2,1,1,1
AY.62,B.1.617.2,51,1,1
AY.64,B.1.617.2,2,1,1
AY.65,B.1.617.2,2,1,1
AY.67,B.1.617.2,1,1,1
AY.7.2,AY.7,1,1,1
AY.75,B.1.617.2,585,1,1
AY.80,B.1.617.2,1,1,1
AY.9,AY.9.2,1,1,1
AY.98,B.1.617.2,6,1,1
B.1,B.1.2,2,1,1
B.1,B.1.371,120,1,1
B.1,B.1.533,1,1,1
B.1,B.1.617.2,8,1,2
B.1.1,B.1,1,1,1
B.1.1,B.1.1.28,1,1,1
B.1.1,B.1.371,7,0,2
B.1.1.222,B.1.1,5,1,1
B.1.139,B.1,1,1,1
B.1.2,B.1,1,1,1
B.1.2,B.1.371,174,0,2
B.1.2,B.1.617.2,1,0,3
B.1.243.2,B.1.243,3,1,1
B.1.305,B.1.371,3,0,2
B.1.333,B.1.371,2,0,2
B.1.369,B.1.371,1,0,2
B.1.427,B.1.371,1,0,2
B.1.427,B.1.617.2,6,0,3
B.1.429,B.1.371,1,0,2
B.1.533,B.1.371,5,0,2
B.1.582,B.1.371,2,0,2
B.1.595,B.1.371,5,0,2
B.1.617.2,AY.100,5,1,1
B.1.617.2,AY.103,5,1,1
B.1.617.2,AY.109,15,1,1
B.1.617.2,AY.111,1,1,1
B.1.617.2,AY.113,1,1,1
B.1.617.2,AY.116.1,1,1,2
B.1.617.2,AY.119,2,1,1
B.1.617.2,AY.13,1,1,1
B.1.617.2,AY.14,3,1,1
B.1.617.2,AY.2,1,1,1
B.1.617.2,AY.20,3,1,1
B.1.617.2,AY.25,26,1,1
B.1.617.2,AY.3,2,1,1
B.1.617.2,AY.37,1,1,1
B.1.617.2,AY.39,5,1,1
B.1.617.2,AY.4,4,1,1
B.1.617.2,AY.44,3,1,1
B.1.617.2,AY.54,3,1,1
B.1.617.2,AY.75,4,1,1
B.1.617.2,B.1,322,1,2
B.1.617.2,B.1.371,1,0,3
B.1.621,B.1.371,36,0,2
B.1.637.1,B.1.637,7,1,1
BA.1.17,BA.1.17.2,6,1,1
BB.1,B.1.621,3,1,2
BB.1,B.1.621.2,2,0,3
P.1.12,P.1.4,6,0,2
P.1.7,P.1,1,1,1
Q.4,B.1.1.7,1,1,1
XB,B.1,1,0,R
